column_0,Tulane,Opponents
Scoring: Points/Game,26.8,27.5
Scoring: Games - Points,13 - 349,13 - 358
First Downs: Total,243,280
First Downs: Rushing - Passing - By Penalty,133 - 93 - 17,106 - 145 - 29
Rushing: Yards / Attempt,4.70,3.88
Rushing: Attempts - Yards - TD,604 - 2836 - 29,494 - 1915 - 20
Passing: Rating,128.75,127.10
Passing: Yards,2378,3373
Passing: Attempts - Completions - Interceptions - TD,300 - 151 - 7 - 15,457 - 239 - 12 - 25
Total Offense: Yards / Play,5.77,5.56
Total Offense: Plays - Yards,904 - 5214,951 - 5288
Punt Returns: Yards / Return,5.33,9.42
Punt Returns: Returns - Yards - TD,27 - 144 - 0,19 - 179 - 0
Kickoff Returns: Yards / Return,22.44,18.65
Kickoff Returns: Returns - Yards - TD,36 - 808 - 0,26 - 485 - 0
Punting: Yards / Punt,41.23,39.96
Punting: Punts - Yards,74 - 3051,73 - 2917
Interceptions: Returns - Yards - TD,12 - 116 - 1,7 - 163 - 0
Fumbles: Number - Lost,17 - 12,14 - 6
Penalties: Number - Yards,88 - 805,82 - 737
Time of Possession / Game,32:15.38,27:44.62
3rd Down Conversions: Conversion %,35.45%,33.68%
3rd Down Conversions: Attempts - Conversions,189 - 67,193 - 65
4th Down Conversions: Conversion %,35.71%,48.28%
4th Down Conversions: Attempts - Conversions,28 - 10,29 - 14
Red Zone: Success %,90.91%,77.78%
Red Zone: Attempts - Scores,33 - 30,45 - 35
Field Goals: Success %,76.9%,72.2%
Field Goals: Attempts - Made,13 - 10,18 - 13
PAT Kicking: Success %,95.3%,92.9%
PAT Kicking: Attempts - Made,43 - 41,42 - 39
2-Point Conversions: Success %,100%,50%
2-Point Conversions: Attempts - Made,2 - 2,4 - 2
