column_0,Temple,Opponents
Scoring: Points/Game,19.9,37.1
Scoring: Games - Points,7 - 139,7 - 260
First Downs: Total,146,150
First Downs: Rushing - Passing - By Penalty,54 - 80 - 12,81 - 60 - 9
Rushing: Yards / Attempt,3.46,4.82
Rushing: Attempts - Yards - TD,284 - 982 - 5,303 - 1460 - 15
Passing: Rating,117.74,165.50
Passing: Yards,1456,1571
Passing: Attempts - Completions - Interceptions - TD,240 - 146 - 11 - 11,170 - 96 - 3 - 18
Total Offense: Yards / Play,4.65,6.41
Total Offense: Plays - Yards,524 - 2438,473 - 3031
Punt Returns: Yards / Return,6.25,11.59
Punt Returns: Returns - Yards - TD,4 - 25 - 0,17 - 197 - 0
Kickoff Returns: Yards / Return,17.79,23.95
Kickoff Returns: Returns - Yards - TD,14 - 249 - 0,20 - 479 - 1
Punting: Yards / Punt,44.00,42.04
Punting: Punts - Yards,40 - 1760,26 - 1093
Interceptions: Returns - Yards - TD,3 - 45 - 0,11 - 129 - 0
Fumbles: Number - Lost,8 - 3,18 - 9
Penalties: Number - Yards,38 - 321,37 - 356
Time of Possession / Game,32:16.43,27:43.57
3rd Down Conversions: Conversion %,37.93%,43.96%
3rd Down Conversions: Attempts - Conversions,116 - 44,91 - 40
4th Down Conversions: Conversion %,57.14%,90.91%
4th Down Conversions: Attempts - Conversions,14 - 8,11 - 10
Red Zone: Success %,79.31%,85.19%
Red Zone: Attempts - Scores,29 - 23,27 - 23
Field Goals: Success %,81.8%,57.1%
Field Goals: Attempts - Made,11 - 9,14 - 8
PAT Kicking: Success %,83.3%,97%
PAT Kicking: Attempts - Made,12 - 10,33 - 32
2-Point Conversions: Success %,0%,0%
2-Point Conversions: Attempts - Made,5 - 0,1 - 0
