column_0,Duke,Opponents
Scoring: Points/Game,22.8,39.8
Scoring: Games - Points,12 - 274,12 - 477
First Downs: Total,262,293
First Downs: Rushing - Passing - By Penalty,111 - 131 - 20,114 - 155 - 24
Rushing: Yards / Attempt,4.13,5.28
Rushing: Attempts - Yards - TD,524 - 2166 - 22,468 - 2470 - 26
Passing: Rating,125.97,159.22
Passing: Yards,2855,3741
Passing: Attempts - Completions - Interceptions - TD,410 - 265 - 9 - 9,405 - 241 - 8 - 32
Total Offense: Yards / Play,5.38,7.11
Total Offense: Plays - Yards,934 - 5021,873 - 6211
Punt Returns: Yards / Return,8.47,8.19
Punt Returns: Returns - Yards - TD,15 - 127 - 0,27 - 221 - 0
Kickoff Returns: Yards / Return,23.14,14.40
Kickoff Returns: Returns - Yards - TD,43 - 995 - 2,20 - 288 - 0
Punting: Yards / Punt,44.82,41.43
Punting: Punts - Yards,61 - 2734,47 - 1947
Interceptions: Returns - Yards - TD,8 - 101 - 0,9 - 115 - 0
Fumbles: Number - Lost,18 - 12,20 - 6
Penalties: Number - Yards,78 - 740,77 - 643
Time of Possession / Game,29:18.58,30:41.42
3rd Down Conversions: Conversion %,42.36%,48.55%
3rd Down Conversions: Attempts - Conversions,203 - 86,173 - 84
4th Down Conversions: Conversion %,37.93%,75%
4th Down Conversions: Attempts - Conversions,29 - 11,12 - 9
Red Zone: Success %,72.09%,92.73%
Red Zone: Attempts - Scores,43 - 31,55 - 51
Field Goals: Success %,66.7%,87%
Field Goals: Attempts - Made,21 - 14,23 - 20
PAT Kicking: Success %,100%,98.3%
PAT Kicking: Attempts - Made,32 - 32,58 - 57
2-Point Conversions: Success %,0%,0%
2-Point Conversions: Attempts - Made,1 - 0,2 - 0
