column_0,Tulsa,Opponents
Scoring: Points/Game,25.0,42.5
Scoring: Games - Points,12 - 300,12 - 510
First Downs: Total,247,266
First Downs: Rushing - Passing - By Penalty,91 - 122 - 34,99 - 154 - 13
Rushing: Yards / Attempt,4.02,4.85
Rushing: Attempts - Yards - TD,451 - 1813 - 11,447 - 2169 - 27
Passing: Rating,123.38,173.47
Passing: Yards,2863,3792
Passing: Attempts - Completions - Interceptions - TD,438 - 248 - 12 - 23,396 - 261 - 9 - 38
Total Offense: Yards / Play,5.26,7.07
Total Offense: Plays - Yards,889 - 4676,843 - 5961
Punt Returns: Yards / Return,9.00,16.48
Punt Returns: Returns - Yards - TD,21 - 189 - 1,25 - 412 - 2
Kickoff Returns: Yards / Return,28.44,18.12
Kickoff Returns: Returns - Yards - TD,25 - 711 - 1,25 - 453 - 0
Punting: Yards / Punt,42.62,40.82
Punting: Punts - Yards,71 - 3026,55 - 2245
Interceptions: Returns - Yards - TD,9 - 66 - 1,12 - 136 - 1
Fumbles: Number - Lost,18 - 10,15 - 7
Penalties: Number - Yards,71 - 612,97 - 963
Time of Possession / Game,29:43.67,30:14.67
3rd Down Conversions: Conversion %,36.73%,43.13%
3rd Down Conversions: Attempts - Conversions,196 - 72,160 - 69
4th Down Conversions: Conversion %,32.26%,50%
4th Down Conversions: Attempts - Conversions,31 - 10,20 - 10
Red Zone: Success %,71.05%,90.48%
Red Zone: Attempts - Scores,38 - 27,42 - 38
Field Goals: Success %,66.7%,53.8%
Field Goals: Attempts - Made,15 - 10,13 - 7
PAT Kicking: Success %,97.1%,97%
PAT Kicking: Attempts - Made,35 - 34,67 - 65
2-Point Conversions: Success %,100%,66.67%
2-Point Conversions: Attempts - Made,3 - 3,3 - 2
