column_0,Alabama,Opponents
Scoring: Points/Game,31.6,17.8
Scoring: Games - Points,10 - 316,10 - 178
First Downs: Total,221,160
First Downs: Rushing - Passing - By Penalty,60 - 143 - 18,71 - 74 - 15
Rushing: Yards / Attempt,3.39,4.16
Rushing: Attempts - Yards - TD,321 - 1087 - 12,319 - 1326 - 12
Passing: Rating,159.48,116.19
Passing: Yards,2947,1615
Passing: Attempts - Completions - Interceptions - TD,357 - 240 - 2 - 26,264 - 164 - 8 - 7
Total Offense: Yards / Play,5.95,5.04
Total Offense: Plays - Yards,678 - 4034,583 - 2941
Punt Returns: Yards / Return,7.77,12.83
Punt Returns: Returns - Yards - TD,13 - 101 - 0,6 - 77 - 0
Kickoff Returns: Yards / Return,17.27,18.13
Kickoff Returns: Returns - Yards - TD,15 - 259 - 0,15 - 272 - 1
Punting: Yards / Punt,43.89,43.68
Punting: Punts - Yards,28 - 1229,41 - 1791
Interceptions: Returns - Yards - TD,8 - 137 - 2,2 - 87 - 1
Fumbles: Number - Lost,9 - 7,14 - 8
Penalties: Number - Yards,49 - 424,59 - 528
Time of Possession / Game,32:28.80,27:31.20
3rd Down Conversions: Conversion %,47.1%,35.48%
3rd Down Conversions: Attempts - Conversions,138 - 65,124 - 44
4th Down Conversions: Conversion %,64%,68.75%
4th Down Conversions: Attempts - Conversions,25 - 16,16 - 11
Red Zone: Success %,90.24%,74.07%
Red Zone: Attempts - Scores,41 - 37,27 - 20
Field Goals: Success %,64.7%,84.6%
Field Goals: Attempts - Made,17 - 11,13 - 11
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,39 - 39,19 - 19
2-Point Conversions: Success %,100%,0%
2-Point Conversions: Attempts - Made,1 - 1,2 - 0
