column_0,Florida,Opponents
Scoring: Points/Game,20.8,23.6
Scoring: Games - Points,10 - 208,10 - 236
First Downs: Total,186,182
First Downs: Rushing - Passing - By Penalty,74 - 93 - 19,69 - 103 - 10
Rushing: Yards / Attempt,3.96,3.82
Rushing: Attempts - Yards - TD,309 - 1224 - 8,375 - 1432 - 17
Passing: Rating,123.29,134.18
Passing: Yards,2171,2231
Passing: Attempts - Completions - Interceptions - TD,333 - 208 - 13 - 14,285 - 180 - 9 - 10
Total Offense: Yards / Play,5.29,5.55
Total Offense: Plays - Yards,642 - 3395,660 - 3663
Punt Returns: Yards / Return,12.08,7.00
Punt Returns: Returns - Yards - TD,12 - 145 - 0,7 - 49 - 0
Kickoff Returns: Yards / Return,16.82,19.13
Kickoff Returns: Returns - Yards - TD,11 - 185 - 0,8 - 153 - 0
Punting: Yards / Punt,43.68,45.13
Punting: Punts - Yards,44 - 1922,47 - 2121
Interceptions: Returns - Yards - TD,9 - 62 - 0,13 - 197 - 1
Fumbles: Number - Lost,12 - 4,9 - 6
Penalties: Number - Yards,53 - 449,66 - 540
Time of Possession / Game,29:50.10,30:09.90
3rd Down Conversions: Conversion %,33.85%,41.67%
3rd Down Conversions: Attempts - Conversions,130 - 44,144 - 60
4th Down Conversions: Conversion %,37.5%,66.67%
4th Down Conversions: Attempts - Conversions,16 - 6,15 - 10
Red Zone: Success %,93.33%,76.47%
Red Zone: Attempts - Scores,30 - 28,34 - 26
Field Goals: Success %,83.3%,81.3%
Field Goals: Attempts - Made,18 - 15,16 - 13
PAT Kicking: Success %,100%,100%
PAT Kicking: Attempts - Made,23 - 23,27 - 27
2-Point Conversions: Success %,-,0%
2-Point Conversions: Attempts - Made,0 - 0,1 - 0
