team,year,record,wins,losses,ties,points_per_game_for,points_per_game_against,rush_yards_per_attempt_for,rush_yards_per_attempt_against,pass_yards_for,pass_yards_against,yards_per_play_for,yards_per_play_against,time_of_possession_minutes_for,time_of_possession_minutes_against,third_down_pct_for,third_down_pct_against,fourth_down_pct_for,fourth_down_pct_against,field_goal_pct_for,field_goal_pct_against,win_pct,scoring_margin,rush_ypa_margin,third_down_margin
Boston College,2016,7-6,7,6,0,20.4,25.0,3.42,3.34,1869.0,2673.0,4.42,5.09,33.46666666666667,26.533333333333335,31.43,31.46,50.0,30.77,75.0,60.0,0.5384615384615384,-4.600000000000001,0.08000000000000007,-0.030000000000001137
Boston College,2017,7-6,7,6,0,25.7,22.8,4.64,4.81,2162.0,2495.0,5.1,5.37,30.430833333333332,29.569166666666668,38.46,37.02,40.0,41.18,60.0,65.0,0.5384615384615384,2.8999999999999986,-0.16999999999999993,1.4399999999999977
Boston College,2018,7-5,7,5,0,32.0,25.7,4.07,3.77,2583.0,2975.0,5.42,5.17,27.826333333333334,32.17366666666667,33.87,37.37,50.0,50.0,66.7,57.1,0.5833333333333334,6.300000000000001,0.30000000000000027,-3.5
Boston College,2019,6-7,6,7,0,29.0,32.2,4.99,4.77,2288.0,3711.0,5.79,6.33,27.810333333333332,32.18966666666667,43.0,46.45,54.17,68.18,66.7,89.3,0.46153846153846156,-3.200000000000003,0.22000000000000064,-3.450000000000003
Boston College,2020,6-5,6,5,0,27.8,28.4,3.1,4.71,3126.0,2700.0,5.65,6.11,31.0045,28.95,44.22,40.43,64.29,81.25,81.8,70.0,0.5454545454545454,-0.5999999999999979,-1.6099999999999999,3.789999999999999
Boston College,2021,6-6,6,6,0,24.7,22.2,4.11,4.53,2217.0,2082.0,5.35,5.43,29.7055,29.370833333333334,39.62,34.69,54.55,50.0,92.9,92.9,0.5,2.5,-0.41999999999999993,4.93
Boston College,2022,3-9,3,9,0,17.8,30.3,2.09,4.39,2965.0,2534.0,4.64,5.64,28.957,30.9055,32.76,36.81,44.44,21.43,52.9,85.7,0.25,-12.5,-2.3,-4.050000000000004
Boston College,2023,7-6,7,6,0,24.8,28.3,4.72,5.29,2372.0,2563.0,5.46,6.29,31.1295,28.532,41.36,41.56,76.32,72.22,78.6,64.3,0.5384615384615384,-3.5,-0.5700000000000003,-0.20000000000000284
Boston College,2024,7-6,7,6,0,28.2,23.8,4.08,3.62,2591.0,3195.0,5.53,5.49,31.724333333333334,28.275666666666666,44.07,36.36,44.44,48.28,60.0,84.0,0.5384615384615384,4.399999999999999,0.45999999999999996,7.710000000000001
Boston College,2025,1-10,1,10,0,24.6,34.6,3.17,5.08,3066.0,3003.0,5.37,6.7,29.487833333333334,30.512166666666666,37.66,42.45,55.17,58.82,100.0,84.2,0.09090909090909091,-10.0,-1.9100000000000001,-4.790000000000006
